filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,110,548,192,231
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,176,432,408,451
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Lines,234,265,414,445
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Signature,392,511,70,146
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,559,580,110,121
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,77,582,279,340
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,68,591,204,280
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,84,135,599,615
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Letters,74,585,138,196
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Stamp,9,99,62,128
AGN_DFS_C-151_Morales_Lopez_Delia_pg-028_jpg.rf.719df6d2ecb33400815b77ff8e28e1d9.jpg,640,640,Handwritting,396,508,72,144
