filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,164,275,338,365
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,161,283,538,562
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Lines,298,366,318,373
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Lines,107,160,389,430
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,153,281,407,433
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,357,517,401,439
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Lines,104,168,302,353
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,364,515,383,425
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Lines,119,172,513,557
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,164,255,314,333
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Lines,110,169,442,478
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,88,516,210,274
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,171,293,284,306
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Lines,100,172,258,336
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,369,490,311,336
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Handwritting,26,113,545,622
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-279_jpg.rf.cec88e52b7b7b5f00a023b3f5eb31cb5.jpg,640,640,Letters,350,518,511,559
