filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Lines,319,385,453,497
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Letters,132,548,523,572
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Letters,188,551,138,172
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Lines,157,190,410,437
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Letters,104,580,457,522
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Handwritting,471,557,120,183
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Lines,335,364,411,439
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Signature,29,111,383,536
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Lines,270,314,349,386
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Lines,340,380,456,487
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Letters,110,608,171,275
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Lines,383,425,187,232
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Letters,96,598,376,448
AGN_DFS_C-18_2_de_2_Cabrera_Arenas_Emma_pg-315_jpg.rf.50abe02abeb5c2769a8f1075fb072f07.jpg,640,640,Letters,123,572,275,372
