filename,width,height,class,xmin,xmax,ymin,ymax
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Handwritting,101,133,330,396
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Handwritting,100,140,441,486
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Handwritting,78,117,352,427
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,179,561,87,121
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,153,566,302,347
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,153,575,237,297
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,159,572,211,270
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,151,572,278,331
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,161,571,191,230
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Signature,52,120,245,312
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,163,567,122,178
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,147,560,454,495
AGN_DFS_C.189_Padilla_Rivera_Rebeca_pg-001.jpg,640,640,Letters,134,569,344,451
